flight_id,route,origin,destination,departure_datetime,booking_date,t,days_to_departure,day_of_week,is_weekend,season,route_type,seat_capacity,remaining_seats,price,competitor_price,search_demand_idx,bookings_made,revenue,cumulative_bookings,sold_out_flag
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-24,0,90,3,False,normal,business,180,172,3500.0,6797.09915276057,5.3999999999999995,8,28000.0,8,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-25,1,89,4,False,normal,business,180,166,3500.0,5486.015496415517,4.45548809609536,6,21000.0,14,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-26,2,88,5,True,normal,business,180,157,3500.0,7231.689915911296,6.479999999999999,9,31500.0,23,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-27,3,87,6,True,normal,business,180,151,3500.0,7417.050598481434,6.479999999999999,6,21000.0,29,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-28,4,86,0,False,normal,business,180,148,3500.0,4597.7406910625095,3.4820503995413183,3,10500.0,32,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-29,5,85,1,False,normal,business,180,142,3500.0,5230.37498080924,4.186110643288706,6,21000.0,38,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-30,6,84,2,False,normal,business,180,136,3500.0,6624.644393088103,5.3999999999999995,6,21000.0,44,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-10-31,7,83,3,False,normal,business,180,134,3500.0,6191.6634724650075,5.152880205242993,2,7000.0,46,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-01,8,82,4,False,normal,business,180,129,3500.0,6483.618871433318,5.3999999999999995,5,17500.0,51,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-02,9,81,5,True,normal,business,180,121,3500.0,5668.282170615759,5.570516224861913,8,28000.0,59,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-03,10,80,6,True,normal,business,180,116,3500.0,7357.413025491257,6.479999999999999,5,17500.0,64,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-04,11,79,0,False,normal,business,180,108,3500.0,7258.347137043224,5.3999999999999995,8,28000.0,72,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-05,12,78,1,False,normal,business,180,107,3500.0,6564.379930122186,5.3999999999999995,1,3500.0,73,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-06,13,77,2,False,normal,business,180,103,3500.0,7599.0601767938315,5.3999999999999995,4,14000.0,77,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-07,14,76,3,False,normal,business,180,97,3500.0,6955.8216086957445,5.3999999999999995,6,21000.0,83,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-08,15,75,4,False,normal,business,180,89,3500.0,5662.189848688843,4.635932739661494,8,28000.0,91,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-09,16,74,5,True,normal,business,180,84,3500.0,6859.532014480436,6.479999999999999,5,17500.0,96,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-10,17,73,6,True,normal,business,180,75,3500.0,5565.089464191726,5.444404394370912,9,31500.0,105,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-11,18,72,0,False,normal,business,180,72,3500.0,7356.489043774591,5.3999999999999995,3,10500.0,108,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-12,19,71,1,False,normal,business,180,69,3500.0,6451.322236788404,5.392770911900041,3,10500.0,111,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-13,20,70,2,False,normal,business,180,65,3500.0,6319.759195543371,5.272323102463755,4,14000.0,115,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-14,21,69,3,False,normal,business,180,60,3500.0,5836.093694206157,4.809897618621117,5,17500.0,120,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-15,22,68,4,False,normal,business,180,53,3500.0,7691.977805207179,5.3999999999999995,7,24500.0,127,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-16,23,67,5,True,normal,business,180,47,3500.0,6349.3337549829175,6.359513630671295,6,21000.0,133,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-17,24,66,6,True,normal,business,180,41,3500.0,6082.38037339097,6.059119926317239,6,21000.0,139,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-18,25,65,0,False,normal,business,180,33,3500.0,6156.669788273976,5.119874430711279,8,28000.0,147,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-19,26,64,1,False,normal,business,180,30,3500.0,7019.001455914515,5.3999999999999995,3,10500.0,150,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-20,27,63,2,False,normal,business,180,20,3500.0,6856.307962754976,5.3999999999999995,10,35000.0,160,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-21,28,62,3,False,normal,business,180,15,3500.0,6902.414296306089,5.3999999999999995,5,17500.0,165,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-22,29,61,4,False,normal,business,180,11,3500.0,6920.050477932687,5.3999999999999995,4,14000.0,169,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-23,30,60,5,True,normal,business,180,3,5500.0,8450.0,10.420779182503049,8,44000.0,177,False
FL00001,Delhi-Mumbai,Delhi,Mumbai,2025-01-22,2024-11-24,31,59,6,True,normal,business,180,0,5500.0,6103.745359025,6.318013203056848,3,16500.0,180,True
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-11-25,0,90,0,False,normal,business,180,177,3500.0,6000.563339155251,4.970652319552939,3,10500.0,3,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-11-26,1,89,1,False,normal,business,180,170,3500.0,5706.571589958319,4.680721528518199,7,24500.0,10,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-11-27,2,88,2,False,normal,business,180,165,3500.0,7100.579937011108,5.3999999999999995,5,17500.0,15,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-11-28,3,87,3,False,normal,business,180,161,3500.0,7600.747985402869,5.3999999999999995,4,14000.0,19,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-11-29,4,86,4,False,normal,business,180,158,3500.0,6388.901228786497,5.335903181166929,3,10500.0,22,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-11-30,5,85,5,True,normal,business,180,152,3500.0,5680.847434961535,5.585753026145993,6,21000.0,28,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-01,6,84,6,True,normal,business,180,145,3500.0,5696.130814701041,5.604251002291132,7,24500.0,35,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-02,7,83,0,False,normal,business,180,139,3500.0,7134.327968129083,5.3999999999999995,6,21000.0,41,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-03,8,82,1,False,normal,business,180,135,3500.0,7224.672816923356,5.3999999999999995,4,14000.0,45,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-04,9,81,2,False,normal,business,180,131,3500.0,7029.575411597566,5.3999999999999995,4,14000.0,49,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-05,10,80,3,False,normal,business,180,128,3500.0,5851.1280353935235,4.8247441779510165,3,10500.0,52,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-06,11,79,4,False,normal,business,180,127,3500.0,6726.357289990052,5.3999999999999995,1,3500.0,53,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-07,12,78,5,True,normal,business,180,125,3500.0,6613.768663912209,6.479999999999999,2,7000.0,55,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-08,13,77,6,True,normal,business,180,118,3500.0,6713.2213818107875,6.479999999999999,7,24500.0,62,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-09,14,76,0,False,normal,business,180,114,3500.0,7349.643058499485,5.3999999999999995,4,14000.0,66,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-10,15,75,1,False,normal,business,180,111,3500.0,6718.005660055315,5.3999999999999995,3,10500.0,69,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-11,16,74,2,False,normal,business,180,108,3500.0,7161.940723995097,5.3999999999999995,3,10500.0,72,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-12,17,73,3,False,normal,business,180,97,3500.0,6565.889592751669,5.3999999999999995,11,38500.0,83,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-13,18,72,4,False,normal,business,180,93,3500.0,6781.891413722734,5.3999999999999995,4,14000.0,87,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-14,19,71,5,True,normal,business,180,87,3500.0,7115.506020192577,6.479999999999999,6,21000.0,93,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-15,20,70,6,True,normal,business,180,78,3500.0,5079.273075640725,4.8272638464932,9,31500.0,102,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-16,21,69,0,False,normal,business,180,72,3500.0,6188.320564051631,5.1497341973456985,6,21000.0,108,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-17,22,68,1,False,normal,business,180,69,3500.0,6041.386662064524,5.009989566669504,3,10500.0,111,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-18,23,67,2,False,normal,business,180,60,3500.0,5877.094097962741,4.850313809107104,9,31500.0,120,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-19,24,66,3,False,normal,business,180,56,3500.0,6231.736305053983,5.1904779091523325,4,14000.0,124,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-20,25,65,4,False,normal,business,180,48,3500.0,7957.567778453536,5.3999999999999995,8,28000.0,132,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-21,26,64,5,True,normal,business,180,42,3500.0,5655.814662199088,5.555372401915676,6,21000.0,138,False
FL00002,Bangalore-Delhi,Bangalore,Delhi,2025-02-23,2024-12-22,27,63,6,True,normal,business,180,37,3500.0,7444.0713957266935,6.479999999999999,5,17500.0,143,False
